Scheduler,CachePol,RamPol,Page Size,Total Mem Cycles,Cache Misses
Round Robin,FIFO,FIFO,64,0,4
Round Robin,FIFO,FIFO,128,0,4
Round Robin,FIFO,FIFO,256,0,4
Round Robin,FIFO,FIFO,512,0,4
Round Robin,FIFO,LRU,64,0,4
Round Robin,FIFO,LRU,128,0,4
Round Robin,FIFO,LRU,256,0,4
Round Robin,FIFO,LRU,512,0,4
Round Robin,LRU,FIFO,64,0,4
Round Robin,LRU,FIFO,128,0,4
Round Robin,LRU,FIFO,256,0,4
Round Robin,LRU,FIFO,512,0,4
Round Robin,LRU,LRU,64,0,4
Round Robin,LRU,LRU,128,0,4
Round Robin,LRU,LRU,256,0,4
Round Robin,LRU,LRU,512,0,4
FCFS,FIFO,FIFO,64,0,4
FCFS,FIFO,FIFO,128,0,4
FCFS,FIFO,FIFO,256,0,4
FCFS,FIFO,FIFO,512,0,4
FCFS,FIFO,LRU,64,0,4
FCFS,FIFO,LRU,128,0,4
FCFS,FIFO,LRU,256,0,4
FCFS,FIFO,LRU,512,0,4
FCFS,LRU,FIFO,64,0,4
FCFS,LRU,FIFO,128,0,4
FCFS,LRU,FIFO,256,0,4
FCFS,LRU,FIFO,512,0,4
FCFS,LRU,LRU,64,0,4
FCFS,LRU,LRU,128,0,4
FCFS,LRU,LRU,256,0,4
FCFS,LRU,LRU,512,0,4
SJF,FIFO,FIFO,64,0,4
SJF,FIFO,FIFO,128,0,4
SJF,FIFO,FIFO,256,0,4
SJF,FIFO,FIFO,512,0,4
SJF,FIFO,LRU,64,0,4
SJF,FIFO,LRU,128,0,4
SJF,FIFO,LRU,256,0,4
SJF,FIFO,LRU,512,0,4
SJF,LRU,FIFO,64,0,4
SJF,LRU,FIFO,128,0,4
SJF,LRU,FIFO,256,0,4
SJF,LRU,FIFO,512,0,4
SJF,LRU,LRU,64,0,4
SJF,LRU,LRU,128,0,4
SJF,LRU,LRU,256,0,4
SJF,LRU,LRU,512,0,4
SRTF,FIFO,FIFO,64,0,4
SRTF,FIFO,FIFO,128,0,4
SRTF,FIFO,FIFO,256,0,4
SRTF,FIFO,FIFO,512,0,4
SRTF,FIFO,LRU,64,0,4
SRTF,FIFO,LRU,128,0,4
SRTF,FIFO,LRU,256,0,4
SRTF,FIFO,LRU,512,0,4
SRTF,LRU,FIFO,64,0,4
SRTF,LRU,FIFO,128,0,4
SRTF,LRU,FIFO,256,0,4
SRTF,LRU,FIFO,512,0,4
SRTF,LRU,LRU,64,0,4
SRTF,LRU,LRU,128,0,4
SRTF,LRU,LRU,256,0,4
SRTF,LRU,LRU,512,0,4
Priority,FIFO,FIFO,64,0,4
Priority,FIFO,FIFO,128,0,4
Priority,FIFO,FIFO,256,0,4
Priority,FIFO,FIFO,512,0,4
Priority,FIFO,LRU,64,0,4
Priority,FIFO,LRU,128,0,4
Priority,FIFO,LRU,256,0,4
Priority,FIFO,LRU,512,0,4
Priority,LRU,FIFO,64,0,4
Priority,LRU,FIFO,128,0,4
Priority,LRU,FIFO,256,0,4
Priority,LRU,FIFO,512,0,4
Priority,LRU,LRU,64,0,4
Priority,LRU,LRU,128,0,4
Priority,LRU,LRU,256,0,4
Priority,LRU,LRU,512,0,4
