Scheduler,CachePol,RamPol,Workload Type,Makespan
Round Robin,FIFO,FIFO,CPU-Bound,6434.0
Round Robin,FIFO,FIFO,IO-Bound,6434.0
Round Robin,FIFO,LRU,CPU-Bound,6434.0
Round Robin,FIFO,LRU,IO-Bound,6434.0
Round Robin,LRU,FIFO,CPU-Bound,6434.0
Round Robin,LRU,FIFO,IO-Bound,6434.0
Round Robin,LRU,LRU,CPU-Bound,6434.0
Round Robin,LRU,LRU,IO-Bound,6434.0
FCFS,FIFO,FIFO,CPU-Bound,6434.0
FCFS,FIFO,FIFO,IO-Bound,6434.0
FCFS,FIFO,LRU,CPU-Bound,6434.0
FCFS,FIFO,LRU,IO-Bound,6434.0
FCFS,LRU,FIFO,CPU-Bound,6434.0
FCFS,LRU,FIFO,IO-Bound,6434.0
FCFS,LRU,LRU,CPU-Bound,6434.0
FCFS,LRU,LRU,IO-Bound,6434.0
SJF,FIFO,FIFO,CPU-Bound,6434.0
SJF,FIFO,FIFO,IO-Bound,6434.0
SJF,FIFO,LRU,CPU-Bound,6434.0
SJF,FIFO,LRU,IO-Bound,6434.0
SJF,LRU,FIFO,CPU-Bound,6434.0
SJF,LRU,FIFO,IO-Bound,6434.0
SJF,LRU,LRU,CPU-Bound,6434.0
SJF,LRU,LRU,IO-Bound,6434.0
SRTF,FIFO,FIFO,CPU-Bound,6434.0
SRTF,FIFO,FIFO,IO-Bound,6434.0
SRTF,FIFO,LRU,CPU-Bound,6434.0
SRTF,FIFO,LRU,IO-Bound,6434.0
SRTF,LRU,FIFO,CPU-Bound,6434.0
SRTF,LRU,FIFO,IO-Bound,6434.0
SRTF,LRU,LRU,CPU-Bound,6434.0
SRTF,LRU,LRU,IO-Bound,6434.0
Priority,FIFO,FIFO,CPU-Bound,6434.0
Priority,FIFO,FIFO,IO-Bound,6434.0
Priority,FIFO,LRU,CPU-Bound,6434.0
Priority,FIFO,LRU,IO-Bound,6434.0
Priority,LRU,FIFO,CPU-Bound,6434.0
Priority,LRU,FIFO,IO-Bound,6434.0
Priority,LRU,LRU,CPU-Bound,6434.0
Priority,LRU,LRU,IO-Bound,6434.0
